match_id,name_officials,role
391131,Brendan Rodgers,Manager Home Team
391131,Maurizio Sarri,Manager Away Team
391131,Anthony Taylor,Referee
391131,Gary Beswick,Assistants
391131,Darren Cann,Assistants
391131,Craig Pawson,Fourth official
391128,Sean Dyche,Manager Home Team
391128,Unai Emery,Manager Away Team
391128,Mike Dean,Referee
391128,Ian Hussin,Assistants
391128,Dan Robathan,Assistants
391128,Nicholas Hopton,Assistants
391128,Lee Mason,Fourth official
391134,Ralph Hasenhüttl,Manager Home Team
391134,Jan Siewert,Manager Away Team
391134,Lee Probert,Referee
391134,Andy Garratt,Assistants
391134,Mark Scholes,Assistants
391134,Peter Bankes,Fourth official
391127,Chris Hughton,Manager Home Team
391127,Pep Guardiola,Manager Away Team
391127,Michael Oliver,Referee
391127,Stuart Burt,Assistants
391127,Simon Bennett,Assistants
391127,Paul Tierney,Fourth official
391130,Scott Parker,Manager Home Team
391130,Rafael Benítez,Manager Away Team
391130,Kevin Friend,Referee
391130,Constantine Hatzidakis,Assistants
391130,Matt Wilkes,Assistants
391130,Graham Scott,Fourth official
391129,Roy Hodgson,Manager Home Team
391129,Eddie Howe,Manager Away Team
391129,Roger East,Referee
391129,Harry Lennard,Assistants
391129,Adrian Holmes,Assistants
391129,Keith Stroud,Fourth official
391132,Jürgen Klopp,Manager Home Team
391132,Nuno Espírito Santo,Manager Away Team
391132,Martin Atkinson,Referee
391132,Lee Betts,Assistants
391132,Adam Nunn,Assistants
391132,Stuart Attwell,Fourth official
391133,Ole Gunnar Solskjaer,Manager Home Team
391133,Neil Warnock,Manager Away Team
391133,Jonathan Moss,Referee
391133,Marc Perry,Assistants
391133,Mick McDonough,Assistants
391133,Simon Hooper,Fourth official
391135,Mauricio Pochettino,Manager Home Team
391135,Marco Silva,Manager Away Team
391135,Andre Marriner,Referee
391135,Scott Ledger,Assistants
391135,Simon Long,Assistants
391135,David Coote,Fourth official
391136,Javi Gracia,Manager Home Team
391136,Manuel Pellegrini,Manager Away Team
391136,Chris Kavanagh,Referee
391136,Daniel Cook,Assistants
391136,Sian Massey,Assistants
391136,Andy Madley,Fourth official
391123,Pep Guardiola,Manager Home Team
391123,Brendan Rodgers,Manager Away Team
391123,Mike Dean,Referee
391123,Richard West,Assistants
391123,Dan Robathan,Assistants
391123,Lee Mason,Fourth official
391122,Jan Siewert,Manager Home Team
391122,Ole Gunnar Solskjaer,Manager Away Team
391122,Lee Mason,Referee
391122,Harry Lennard,Assistants
391122,Scott Ledger,Assistants
391122,Mike Dean,Fourth official
391125,Manuel Pellegrini,Manager Home Team
391125,Ralph Hasenhüttl,Manager Away Team
391125,Stuart Attwell,Referee
391125,Stephen Child,Assistants
391125,Constantine Hatzidakis,Assistants
391125,Martin Atkinson,Fourth official
391117,Unai Emery,Manager Home Team
391117,Chris Hughton,Manager Away Team
391117,Anthony Taylor,Referee
391117,Gary Beswick,Assistants
391117,Adam Nunn,Assistants
391117,Graham Scott,Fourth official
391118,Eddie Howe,Manager Home Team
391118,Mauricio Pochettino,Manager Away Team
391118,Craig Pawson,Referee
391118,Ian Hussin,Assistants
391118,Darren Cann,Assistants
391118,Simon Hooper,Fourth official
391120,Maurizio Sarri,Manager Home Team
391120,Javi Gracia,Manager Away Team
391120,Paul Tierney,Referee
391120,Edward Smart,Assistants
391120,Adrian Holmes,Assistants
391120,David Coote,Fourth official
391119,Neil Warnock,Manager Home Team
391119,Roy Hodgson,Manager Away Team
391119,Michael Oliver,Referee
391119,Stuart Burt,Assistants
391119,Simon Bennett,Assistants
391119,Graham Scott,Fourth official
391126,Nuno Espírito Santo,Manager Home Team
391126,Scott Parker,Manager Away Team
391126,Jonathan Moss,Referee
391126,Marc Perry,Assistants
391126,Andy Halliday,Assistants
391126,Chris Kavanagh,Fourth official
391124,Rafael Benítez,Manager Home Team
391124,Jürgen Klopp,Manager Away Team
391124,Andre Marriner,Referee
391124,Lee Betts,Assistants
391124,Simon Long,Assistants
391124,Kevin Friend,Fourth official
391121,Marco Silva,Manager Home Team
391121,Sean Dyche,Manager Away Team
391121,Chris Kavanagh,Referee
391121,Daniel Cook,Assistants
391121,Mick McDonough,Assistants
391121,Anthony Taylor,Fourth official
391115,Mauricio Pochettino,Manager Home Team
391115,Manuel Pellegrini,Manager Away Team
391115,Anthony Taylor,Referee
391115,Gary Beswick,Assistants
391115,Adam Nunn,Assistants
391115,Jonathan Moss,Fourth official
391109,Roy Hodgson,Manager Home Team
391109,Marco Silva,Manager Away Team
391109,Lee Mason,Referee
391109,Harry Lennard,Assistants
391109,Andy Halliday,Assistants
391109,Roger East,Fourth official
391110,Scott Parker,Manager Home Team
391110,Neil Warnock,Manager Away Team
391110,Chris Kavanagh,Referee
391110,Daniel Cook,Assistants
391110,Marc Perry,Assistants
391110,Michael Oliver,Fourth official
391111,Brendan Rodgers,Manager Home Team
391111,Unai Emery,Manager Away Team
391111,Michael Oliver,Referee
391111,Stuart Burt,Assistants
391111,Simon Bennett,Assistants
391111,Chris Kavanagh,Fourth official
391114,Ralph Hasenhüttl,Manager Home Team
391114,Eddie Howe,Manager Away Team
391114,Graham Scott,Referee
391114,Mick McDonough,Assistants
391114,Neil Davies,Assistants
391114,David Coote,Fourth official
391108,Sean Dyche,Manager Home Team
391108,Pep Guardiola,Manager Away Team
391108,Paul Tierney,Referee
391108,Edward Smart,Assistants
391108,Adrian Holmes,Assistants
391108,Craig Pawson,Fourth official
391113,Ole Gunnar Solskjaer,Manager Home Team
391113,Maurizio Sarri,Manager Away Team
391113,Martin Atkinson,Referee
391113,Stephen Child,Assistants
391113,Lee Betts,Assistants
391113,Jonathan Moss,Fourth official
391107,Chris Hughton,Manager Home Team
391107,Rafael Benítez,Manager Away Team
391107,Mike Dean,Referee
391107,Ian Hussin,Assistants
391107,Dan Robathan,Assistants
391107,Lee Probert,Fourth official
391116,Javi Gracia,Manager Home Team
391116,Nuno Espírito Santo,Manager Away Team
391116,Simon Hooper,Referee
391116,Darren Cann,Assistants
391116,Derek Eaton,Assistants
391116,Andre Marriner,Fourth official
391112,Jürgen Klopp,Manager Home Team
391112,Jan Siewert,Manager Away Team
391112,Kevin Friend,Referee
391112,Constantine Hatzidakis,Assistants
391112,Matt Wilkes,Assistants
391112,Paul Tierney,Fourth official
391066,Nuno Espírito Santo,Manager Home Team
391066,Unai Emery,Manager Away Team
391066,Stuart Attwell,Referee
391066,Constantine Hatzidakis,Assistants
391066,Peter Kirkup,Assistants
391066,Martin Atkinson,Fourth official
391062,Ole Gunnar Solskjaer,Manager Home Team
391062,Pep Guardiola,Manager Away Team
391062,Andre Marriner,Referee
391062,Scott Ledger,Assistants
391062,Simon Long,Assistants
391062,Craig Pawson,Fourth official
391084,Mauricio Pochettino,Manager Home Team
391084,Chris Hughton,Manager Away Team
391084,Chris Kavanagh,Referee
391084,Daniel Cook,Assistants
391084,Gary Beswick,Assistants
391084,Anthony Taylor,Fourth official
391100,Maurizio Sarri,Manager Home Team
391100,Sean Dyche,Manager Away Team
391100,Kevin Friend,Referee
391100,Matt Wilkes,Assistants
391100,Adrian Holmes,Assistants
391100,Roger East,Fourth official
391101,Marco Silva,Manager Home Team
391101,Ole Gunnar Solskjaer,Manager Away Team
391101,Paul Tierney,Referee
391101,Constantine Hatzidakis,Assistants
391101,Edward Smart,Assistants
391101,Lee Mason,Fourth official
391064,Javi Gracia,Manager Home Team
391064,Ralph Hasenhüttl,Manager Away Team
391064,Mike Dean,Referee
391064,Ian Hussin,Assistants
391064,Dan Robathan,Assistants
391064,Lee Probert,Fourth official
391097,Unai Emery,Manager Home Team
391097,Roy Hodgson,Manager Away Team
391097,Jonathan Moss,Referee
391097,Marc Perry,Assistants
391097,Andy Halliday,Assistants
391097,Stuart Attwell,Fourth official
391099,Neil Warnock,Manager Home Team
391099,Jürgen Klopp,Manager Away Team
391099,Martin Atkinson,Referee
391099,Stephen Child,Assistants
391099,Harry Lennard,Assistants
391099,David Coote,Fourth official
391103,Pep Guardiola,Manager Home Team
391103,Mauricio Pochettino,Manager Away Team
391103,Michael Oliver,Referee
391103,Stuart Burt,Assistants
391103,Simon Bennett,Assistants
391103,Chris Kavanagh,Fourth official
391098,Eddie Howe,Manager Home Team
391098,Scott Parker,Manager Away Team
391098,David Coote,Referee
391098,Daniel Cook,Assistants
391098,Sian Massey,Assistants
391098,Graham Scott,Fourth official
391102,Jan Siewert,Manager Home Team
391102,Javi Gracia,Manager Away Team
391102,Roger East,Referee
391102,Peter Kirkup,Assistants
391102,Derek Eaton,Assistants
391102,Mike Dean,Fourth official
391105,Manuel Pellegrini,Manager Home Team
391105,Brendan Rodgers,Manager Away Team
391105,Lee Probert,Referee
391105,Richard West,Assistants
391105,Andy Garratt,Assistants
391105,Andre Marriner,Fourth official
391058,Chris Hughton,Manager Home Team
391058,Neil Warnock,Manager Away Team
391058,Andre Marriner,Referee
391058,Scott Ledger,Assistants
391058,Simon Long,Assistants
391058,Chris Kavanagh,Fourth official
391104,Rafael Benítez,Manager Home Team
391104,Ralph Hasenhüttl,Manager Away Team
391104,Anthony Taylor,Referee
391104,Gary Beswick,Assistants
391104,Adam Nunn,Assistants
391104,Kevin Friend,Fourth official
391106,Nuno Espírito Santo,Manager Home Team
391106,Chris Hughton,Manager Away Team
391106,Craig Pawson,Referee
391106,Lee Betts,Assistants
391106,Ian Hussin,Assistants
391106,Simon Hooper,Fourth official
391089,Roy Hodgson,Manager Home Team
391089,Pep Guardiola,Manager Away Team
391089,Martin Atkinson,Referee
391089,Lee Betts,Assistants
391089,Adam Nunn,Assistants
391089,David Coote,Fourth official
391096,Javi Gracia,Manager Home Team
391096,Unai Emery,Manager Away Team
391096,Craig Pawson,Referee
391096,Gary Beswick,Assistants
391096,Richard West,Assistants
391096,Simon Hooper,Fourth official
391092,Jürgen Klopp,Manager Home Team
391092,Maurizio Sarri,Manager Away Team
391092,Michael Oliver,Referee
391092,Stuart Burt,Assistants
391092,Simon Bennett,Assistants
391092,Craig Pawson,Fourth official
391090,Scott Parker,Manager Home Team
391090,Marco Silva,Manager Away Team
391090,Lee Probert,Referee
391090,Andy Garratt,Assistants
391090,Adrian Holmes,Assistants
391090,Keith Stroud,Fourth official
391087,Chris Hughton,Manager Home Team
391087,Eddie Howe,Manager Away Team
391087,Kevin Friend,Referee
391087,Matt Wilkes,Assistants
391087,Derek Eaton,Assistants
391087,Stuart Attwell,Fourth official
391088,Sean Dyche,Manager Home Team
391088,Neil Warnock,Manager Away Team
391088,Mike Dean,Referee
391088,Ian Hussin,Assistants
391088,Darren Cann,Assistants
391088,Anthony Taylor,Fourth official
391095,Mauricio Pochettino,Manager Home Team
391095,Jan Siewert,Manager Away Team
391095,Lee Mason,Referee
391095,Harry Lennard,Assistants
391095,Andy Halliday,Assistants
391095,Paul Tierney,Fourth official
391094,Ralph Hasenhüttl,Manager Home Team
391094,Nuno Espírito Santo,Manager Away Team
391094,Jonathan Moss,Referee
391094,Marc Perry,Assistants
391094,Constantine Hatzidakis,Assistants
391094,Andre Marriner,Fourth official
391093,Ole Gunnar Solskjaer,Manager Home Team
391093,Manuel Pellegrini,Manager Away Team
391093,Graham Scott,Referee
391093,Mick McDonough,Assistants
391093,Neil Davies,Assistants
391093,Michael Oliver,Fourth official
391078,Maurizio Sarri,Manager Home Team
391078,Manuel Pellegrini,Manager Away Team
391078,Chris Kavanagh,Referee
391078,Daniel Cook,Assistants
391078,Constantine Hatzidakis,Assistants
391078,Jonathan Moss,Fourth official
391091,Brendan Rodgers,Manager Home Team
391091,Rafael Benítez,Manager Away Team
391091,Chris Kavanagh,Referee
391091,Daniel Cook,Assistants
391091,Sian Massey,Assistants
391091,Paul Tierney,Fourth official
391079,Marco Silva,Manager Home Team
391079,Unai Emery,Manager Away Team
391079,Kevin Friend,Referee
391079,Matt Wilkes,Assistants
391079,Adrian Holmes,Assistants
391079,Mike Dean,Fourth official
391077,Eddie Howe,Manager Home Team
391077,Sean Dyche,Manager Away Team
391077,Martin Atkinson,Referee
391077,Stephen Child,Assistants
391077,Harry Lennard,Assistants
391077,Simon Hooper,Fourth official
391080,Jan Siewert,Manager Home Team
391080,Brendan Rodgers,Manager Away Team
391080,David Coote,Referee
391080,Marc Perry,Assistants
391080,Peter Kirkup,Assistants
391080,Jonathan Moss,Fourth official
391082,Rafael Benítez,Manager Home Team
391082,Roy Hodgson,Manager Away Team
391082,Stuart Attwell,Referee
391082,Simon Long,Assistants
391082,Richard West,Assistants
391082,Craig Pawson,Fourth official
391083,Ralph Hasenhüttl,Manager Home Team
391083,Jürgen Klopp,Manager Away Team
391083,Paul Tierney,Referee
391083,Stuart Burt,Assistants
391083,Darren Cann,Assistants
391083,Graham Scott,Fourth official
391021,Maurizio Sarri,Manager Home Team
391021,Chris Hughton,Manager Away Team
391021,Graham Scott,Referee
391021,Mick McDonough,Assistants
391021,Neil Davies,Assistants
391021,Kevin Friend,Fourth official
391081,Pep Guardiola,Manager Home Team
391081,Neil Warnock,Manager Away Team
391081,Jonathan Moss,Referee
391081,Marc Perry,Assistants
391081,Andy Halliday,Assistants
391081,Michael Oliver,Fourth official
391063,Mauricio Pochettino,Manager Home Team
391063,Roy Hodgson,Manager Away Team
391063,Andre Marriner,Referee
391063,Scott Ledger,Assistants
391063,Simon Long,Assistants
391063,Chris Kavanagh,Fourth official
