match_id,name_officials,role
287663,Gustavo Poyet,Manager Home Team
287663,Garry Monk,Manager Away Team
287663,Chris Foy,Referee
287663,Matt Wilkes,Assistants
287663,Stuart Burt,Assistants
287663,Michael Jones,Fourth official
287662,Mauricio Pochettino,Manager Home Team
287662,Ryan Giggs,Manager Away Team
287662,Mike Dean,Referee
287662,Derek Eaton,Assistants
287662,Simon Bennett,Assistants
287662,Robert Madley,Fourth official
287657,Felix Magath,Manager Home Team
287657,Tony Pulis,Manager Away Team
287657,Kevin Friend,Referee
287657,Mark Scholes,Assistants
287657,Ian Hussin,Assistants
287657,Mark Clattenburg,Fourth official
287661,Neil Adams,Manager Home Team
287661,Arsène Wenger,Manager Away Team
287661,Lee Mason,Referee
287661,Richard West,Assistants
287661,Adrian Holmes,Assistants
287661,Andy D'Urso,Fourth official
287660,Manuel Pellegrini,Manager Home Team
287660,Sam Allardyce,Manager Away Team
287660,Martin Atkinson,Referee
287660,Peter Kirkup,Assistants
287660,Harry Lennard,Assistants
287660,Neil Swarbrick,Fourth official
287658,Steve Bruce,Manager Home Team
287658,Roberto Martínez,Manager Away Team
287658,Howard Webb,Referee
287658,Mike Mullarkey,Assistants
287658,Darren Cann,Assistants
287658,Anthony Taylor,Fourth official
287659,Brendan Rodgers,Manager Home Team
287659,Alan Pardew,Manager Away Team
287659,Phil Dowd,Referee
287659,Stephen Child,Assistants
287659,Scott Ledger,Assistants
287659,Andre Marriner,Fourth official
287656,Ole Gunnar Solskjaer,Manager Home Team
287656,José Mourinho,Manager Away Team
287656,Michael Oliver,Referee
287656,Dave Bryan,Assistants
287656,Darren England,Assistants
287656,Roger East,Fourth official
287664,Tim Sherwood,Manager Home Team
287664,Paul Lambert,Manager Away Team
287664,Jonathan Moss,Referee
287664,Simon Long,Assistants
287664,Lee Betts,Assistants
287664,Andy Woolmer,Fourth official
287571,Manuel Pellegrini,Manager Home Team
287571,Paul Lambert,Manager Away Team
287571,Michael Oliver,Referee
287571,Darren England,Assistants
287571,Stephen Child,Assistants
287571,Phil Dowd,Fourth official
287620,Ryan Giggs,Manager Home Team
287620,Steve Bruce,Manager Away Team
287620,Craig Pawson,Referee
287620,Dave Bryan,Assistants
287620,Andy Garratt,Assistants
287620,Martin Atkinson,Fourth official
287649,Tony Pulis,Manager Home Team
287649,Brendan Rodgers,Manager Away Team
287649,Mark Clattenburg,Referee
287649,Simon Beck,Assistants
