match_id,name_officials,role
313763,Nigel Pearson,Manager Home Team
313763,Chris Ramsey,Manager Away Team
313763,Michael Oliver,Referee
313763,Lee Betts,Assistants
313763,Scott Ledger,Assistants
313763,Steve Martin,Fourth official
313762,Steve Bruce,Manager Home Team
313762,Louis van Gaal,Manager Away Team
313762,Lee Probert,Referee
313762,Harry Lennard,Assistants
313762,Darren Cann,Assistants
313762,Andre Marriner,Fourth official
313764,Manuel Pellegrini,Manager Home Team
313764,Ronald Koeman,Manager Away Team
313764,Chris Foy,Referee
313764,Mick McDonough,Assistants
313764,Ron Ganfield,Assistants
313764,Paul Tierney,Fourth official
313758,Tim Sherwood,Manager Home Team
313758,Sean Dyche,Manager Away Team
313758,Michael Jones,Referee
313758,Richard West,Assistants
313758,Mark Scholes,Assistants
313758,David Coote,Fourth official
313757,Arsène Wenger,Manager Home Team
313757,Tony Pulis,Manager Away Team
313757,Robert Madley,Referee
313757,Simon Beck,Assistants
313757,Andy Garratt,Assistants
313757,Stuart Attwell,Fourth official
313761,Roberto Martínez,Manager Home Team
313761,Mauricio Pochettino,Manager Away Team
313761,Jonathan Moss,Referee
313761,Darren England,Assistants
313761,Simon Bennett,Assistants
313761,Andy Woolmer,Fourth official
313759,José Mourinho,Manager Home Team
313759,Dick Advocaat,Manager Away Team
313759,Lee Mason,Referee
313759,John Brooks,Assistants
313759,Andy Halliday,Assistants
313759,Robert Madley,Fourth official
313760,Alan Pardew,Manager Home Team
313760,Garry Monk,Manager Away Team
313760,Craig Pawson,Referee
313760,Ian Hussin,Assistants
313760,Marc Perry,Assistants
313760,Peter Bankes,Fourth official
313765,John Carver,Manager Home Team
313765,Sam Allardyce,Manager Away Team
313765,Martin Atkinson,Referee
313765,Mike Mullarkey,Assistants
313765,Stephen Child,Assistants
313765,Kevin Friend,Fourth official
313766,Mark Hughes,Manager Home Team
313766,Brendan Rodgers,Manager Away Team
313766,Anthony Taylor,Referee
313766,Gary Beswick,Assistants
313766,Dave Bryan,Assistants
313766,Neil Swarbrick,Fourth official
313707,Arsène Wenger,Manager Home Team
313707,Dick Advocaat,Manager Away Team
313707,Anthony Taylor,Referee
313707,Scott Ledger,Assistants
313707,Marc Perry,Assistants
313707,Kevin Friend,Fourth official
313753,Garry Monk,Manager Home Team
313753,Manuel Pellegrini,Manager Away Team
313753,Mark Clattenburg,Referee
313753,Simon Beck,Assistants
313753,Jake Collin,Assistants
313753,Lee Probert,Fourth official
313751,Ronald Koeman,Manager Home Team
313751,Tim Sherwood,Manager Away Team
313751,Robert Madley,Referee
313751,Peter Kirkup,Assistants
313751,Darren Cann,Assistants
313751,Michael Jones,Fourth official
313755,Tony Pulis,Manager Home Team
313755,José Mourinho,Manager Away Team
313755,Michael Jones,Referee
313755,Mick McDonough,Assistants
313755,Derek Eaton,Assistants
313755,Lee Mason,Fourth official
313749,Louis van Gaal,Manager Home Team
313749,Arsène Wenger,Manager Away Team
313749,Mike Dean,Referee
313749,Lee Betts,Assistants
313749,Simon Long,Assistants
313749,Michael Oliver,Fourth official
313747,Sean Dyche,Manager Home Team
313747,Mark Hughes,Manager Away Team
313747,Michael Oliver,Referee
313747,Stuart Burt,Assistants
313747,Matt Wilkes,Assistants
313747,Paul Tierney,Fourth official
313750,Chris Ramsey,Manager Home Team
313750,John Carver,Manager Away Team
313750,Lee Probert,Referee
313750,Ron Ganfield,Assistants
313750,Andy Garratt,Assistants
313750,Neil Swarbrick,Fourth official
313756,Sam Allardyce,Manager Home Team
313756,Roberto Martínez,Manager Away Team
313756,Kevin Friend,Referee
313756,Edward Smart,Assistants
313756,Richard West,Assistants
313756,Andre Marriner,Fourth official
313752,Dick Advocaat,Manager Home Team
313752,Nigel Pearson,Manager Away Team
313752,Martin Atkinson,Referee
