match_id,number_player,name_player,nationality,age,position,transfer_fee,first_team,substitution,play_time,goals,penalty_goals,missed_penalty_goals,own_goals,assists,yellow_card,red_card
446664,1,Alex McCarthy,England,32,GK,3500000.0,True,False,90,0,0,0,0,0,False,False
446664,2,Kyle Walker-Peters,England,25,RB,18000000.0,True,False,90,0,0,0,0,0,False,False
446664,5,Jack Stephens,England,28,CB,8000000.0,True,False,90,0,0,0,0,0,False,False
446664,4,Lyanco Evangelista Silveira Neves Vojnovic,Brazil,25,CB,5000000.0,True,False,90,0,0,0,0,0,False,False
446664,22,Mohammed Salisu,Ghana,23,LB,15000000.0,True,False,90,0,0,0,0,0,False,False
446664,8,James Ward-Prowse,England,27,CM,32000000.0,True,False,90,0,1,0,0,0,False,False
446664,6,Oriol Romeu,Spain,30,DM,5000000.0,True,True,93,0,0,0,0,0,True,False
446664,24,Mohamed Elyounoussi,Norway,27,LW,10000000.0,True,True,72,0,0,0,0,0,False,False
446665,1,José Sá,Portugal,29,GK,14000000.0,True,True,45,0,0,0,0,0,False,False
446664,17,Stuart Armstrong,Scotland,30,RM,6000000.0,True,False,90,0,0,0,0,0,False,False
446665,15,Willy Boly,Cote d'Ivoire,31,CB,8000000.0,True,False,90,0,0,0,0,0,False,False
446664,11,Nathan Redmond,England,28,CF,18000000.0,True,True,83,0,0,0,0,0,False,False
446661,1,Martin Dubravka,Slovakia,33,GK,5000000.0,True,False,90,0,0,0,0,0,False,False
446665,16,Conor Coady,England,29,CB,25000000.0,True,False,90,0,0,0,0,0,False,False
446665,24,Tote António Gomes,Portugal,23,CB,1000000.0,True,False,90,0,0,0,0,0,False,False
446658,15,Asmir Begovic,Bosnia-Herzegovina,34,GK,1000000.0,True,False,90,0,0,0,0,0,False,False
446661,15,Kieran Trippier,England,31,RB,18000000.0,True,False,90,0,0,0,0,0,False,False
446665,19,Jonny Otto,Spain,28,RM,15000000.0,True,False,90,0,0,0,0,0,False,False
446659,1,Illan Meslier,France,22,GK,20000000.0,True,False,90,0,0,0,0,0,False,False
446664,9,Adam Armstrong,England,25,CF,16000000.0,True,True,63,0,0,0,0,0,False,False
446661,6,Jamaal Lascelles,England,28,CB,11000000.0,True,False,90,0,0,0,0,0,False,False
446665,32,Leander Dendoncker,Belgium,27,CM,30000000.0,True,True,90,0,0,0,0,0,False,False
446659,5,Robin Koch,Germany,25,RB,17000000.0,True,False,90,0,0,0,0,0,False,False
446658,17,Alex Iwobi,Nigeria,26,RM,18000000.0,True,False,90,0,0,0,0,0,False,False
446658,4,Mason Holgate,England,25,CB,18000000.0,True,False,90,0,0,0,0,0,False,False
446665,8,Rúben Neves,Portugal,25,DM,40000000.0,True,False,90,0,0,0,0,0,False,False
446659,14,Diego Llorente,Spain,28,CB,18000000.0,True,False,90,0,0,0,0,0,False,False
446662,26,Daniel Bachmann,Austria,27,GK,3000000.0,True,False,90,0,0,0,0,0,False,False
446664,7,Shane Long,Ireland,35,CF,800000.0,False,True,7,0,0,0,0,0,False,False
446658,5,Michael Keane,England,29,CB,22000000.0,True,False,90,0,0,0,0,0,False,False
446659,6,Liam Cooper,Scotland,30,CB,7000000.0,True,False,90,0,0,0,0,0,False,False
446662,21,Kiko Femenía,Spain,31,RB,3000000.0,True,False,90,0,0,0,0,0,False,False
446664,10,Che Adams,Scotland,25,CF,20000000.0,False,True,27,0,0,0,0,0,False,False
446661,33,Dan Burn,England,30,CB,7000000.0,True,False,90,0,0,0,0,0,False,False
446665,28,João Moutinho,Portugal,35,CM,2500000.0,True,False,90,0,0,0,0,0,False,False
446661,13,Matt Targett,England,26,LB,17000000.0,True,False,90,0,0,0,0,0,False,False
446662,27,Christian Kabasele,Belgium,31,CB,3000000.0,True,False,90,0,0,0,0,0,False,False
446664,13,Willy Caballero,Argentina,40,GK,250000.0,False,False,0,0,0,0,0,0,False,False
446665,3,Rayan Ait Nouri,Algeria,20,LM,15000000.0,True,False,90,0,0,0,0,0,False,False
446659,3,Héctor Júnior Firpo Adamés,Dominican Republic,25,LB,12000000.0,True,False,90,0,0,0,0,0,False,False
446662,22,Samir Caetano de Souza Santos,Brazil,27,CB,5000000.0,True,False,90,0,0,0,0,0,False,False
446661,36,Sean Longstaff,England,24,DM,13000000.0,True,False,90,0,0,0,0,0,False,False
446664,19,Moussa Djenepo,Mali,23,LW,11000000.0,False,True,18,0,0,0,0,0,False,False
446665,9,Raúl Jiménez,Mexico,31,CF,22000000.0,True,False,90,0,0,0,0,1,False,False
446661,39,Bruno Guimarães Rodriguez Moura,Brazil,24,CM,30000000.0,True,False,90,0,0,0,0,0,False,False
446665,7,Pedro Neto,Portugal,22,SS,35000000.0,True,True,22,1,0,0,0,0,False,False
446658,32,Jarrad Branthwaite,England,19,CB,3000000.0,True,False,90,0,0,0,0,0,False,False
446659,10,Raphael Dias Belloli,Brazil,25,RW,45000000.0,True,False,90,0,1,0,0,0,False,False
446662,14,Hassane Kamara,Cote d'Ivoire,28,LB,6000000.0,True,True,78,0,0,0,0,0,False,False
446658,2,Jonjoe Kenny,England,25,LM,4500000.0,True,False,90,0,0,0,0,0,False,False
446661,7,Joelinton,Brazil,25,AM,18000000.0,True,True,11,0,0,0,0,0,False,False
446659,42,Sam Greenwood,England,20,CM,500000.0,True,True,85,0,0,0,0,0,False,False
446662,19,Moussa Sissoko,France,32,CM,5000000.0,True,False,90,0,0,0,0,0,False,False
446661,24,Miguel Almirón,Paraguay,28,RW,16000000.0,True,True,89,0,0,0,0,0,False,False
