match_id,stadium,attendance,is_home_team,team,possessions,total_shots,on_target,off_target,blocked,passing,clear_cut_chance,corners,offsides,tackles,aerial_duels,saves,fouls_committed,fouls_won,yellow_cards,red_cards
261931,Stamford Bridge,41794,True,Chelsea,43.5,23,6,10,7,84.2,0,7,1,82.6,40,6,8,9,2,0
261931,Stamford Bridge,41794,False,Everton,56.5,20,7,8,5,88.4,3,4,1,95.5,60,4,9,7,1,0
261932,Anfield,44792,True,Liverpool,66.4,15,8,7,0,88.3,0,14,2,0,0,0,7,3,1,0
261932,Anfield,44792,False,Queens Park Rangers,33.6,7,0,7,0,77.2,0,0,1,0,0,0,4,6,3,0
261933,Etihad Stadium,47054,True,Manchester City,60.3,9,3,6,0,87.3,0,7,2,0,0,0,11,8,1,0
261933,Etihad Stadium,47054,False,Norwich City,39.7,14,7,7,0,81.1,0,7,2,0,0,0,9,10,0,0
261934,St. James' Park,52354,True,Newcastle United,50.7,5,1,4,0,84.8,0,4,2,0,0,0,18,10,1,0
261934,St. James' Park,52354,False,Arsenal,49.3,8,2,6,0,79.7,0,4,2,0,0,0,10,17,2,0
261935,St. Mary's Stadium,31539,True,Southampton,63,11,7,4,0,83.5,0,3,3,0,0,0,10,7,0,0
261935,St. Mary's Stadium,31539,False,Stoke City,37,8,3,5,0,72.3,0,4,2,0,0,0,7,9,2,0
261936,Swansea Stadium,20365,True,Swansea City,64.4,20,10,10,0,92,0,8,5,0,0,0,12,10,3,0
261936,Swansea Stadium,20365,False,Fulham,35.6,8,5,3,0,81.2,0,0,1,0,0,0,10,12,1,0
261937,White Hart Lane,36763,True,Tottenham Hotspur,68.2,21,14,7,0,81.8,0,14,4,0,0,0,7,13,1,0
261937,White Hart Lane,36763,False,Sunderland,31.8,6,3,3,0,69.4,0,1,2,0,0,0,14,5,2,1
261938,The Hawthorns,26438,True,West Bromwich Albion,35.4,19,6,7,6,79.1,7,3,4,84.2,63.2,2,12,7,0,0
261938,The Hawthorns,26438,False,Manchester United,64.6,15,6,4,5,87.5,5,5,2,80,36.8,1,8,12,1,0
261939,Boleyn Ground,34973,True,West Ham United,48.4,19,10,9,0,77.6,0,6,5,0,0,0,13,9,2,0
261939,Boleyn Ground,34973,False,Reading,51.6,15,6,9,0,77.5,0,4,1,0,0,0,10,13,1,0
261940,DW Stadium,23001,True,Wigan Athletic,54,11,4,7,0,81.3,0,4,2,0,0,0,11,12,2,0
261940,DW Stadium,23001,False,Aston Villa,46,5,3,2,0,80.1,0,2,4,0,0,0,13,10,1,0
285706,Emirates Stadium,60068,True,Arsenal,47.5,17,10,7,0,80.3,0,7,2,0,0,0,12,11,0,0
285706,Emirates Stadium,60068,False,Wigan Athletic,52.5,7,2,5,0,84.2,0,4,5,0,0,0,11,10,2,0
285708,Select Car Leasing Stadium,22859,True,Reading,38.7,10,7,3,0,83,0,4,1,0,0,0,7,7,0,0
285708,Select Car Leasing Stadium,22859,False,Manchester City,61.3,19,11,8,0,87.9,0,10,2,0,0,0,8,7,1,0
261929,Bet365 Stadium,27531,True,Stoke City,32.7,4,1,3,0,69.3,0,2,0,0,0,0,12,5,3,1
261929,Bet365 Stadium,27531,False,Tottenham Hotspur,67.3,15,7,8,0,88.4,0,11,4,0,0,0,6,11,1,0
261923,Goodison Park,39475,True,Everton,64.7,18,7,11,0,88.4,0,7,3,0,0,0,7,11,1,0
261923,Goodison Park,39475,False,West Ham United,35.3,7,2,5,0,73.9,0,1,1,0,0,0,12,6,2,0
261924,Craven Cottage,25640,True,Fulham,48.4,7,5,2,0,87.9,0,7,3,0,0,0,1,11,0,0
261924,Craven Cottage,25640,False,Liverpool,51.6,14,7,7,0,87.7,0,8,2,0,0,0,11,1,1,0
261926,Carrow Road,26837,True,Norwich City,48.1,11,7,4,0,80.7,0,8,2,0,0,0,11,7,2,0
261926,Carrow Road,26837,False,West Bromwich Albion,51.9,6,4,2,0,81.6,0,2,2,0,0,0,7,11,1,0
261927,Loftus Road Stadium,17278,True,Queens Park Rangers,56.2,10,2,5,3,72.8,0,2,7,90.9,38.7,1,9,7,1,0
261927,Loftus Road Stadium,17278,False,Newcastle United,43.8,11,4,3,4,66.4,0,2,4,79.2,61.3,1,10,8,2,1
261930,Stadium of Light,41988,True,Sunderland,36,3,2,1,0,63.1,0,3,1,0,0,0,9,10,0,0
261930,Stadium of Light,41988,False,Southampton,64,11,8,3,0,74.7,0,10,1,0,0,0,10,9,2,0
261925,Old Trafford,75572,True,Manchester United,52.1,13,6,7,0,87.8,0,7,2,0,0,0,5,7,0,0
261925,Old Trafford,75572,False,Swansea City,47.9,7,2,5,0,85.8,0,5,0,0,0,0,7,3,0,0
285626,Villa Park,42084,True,Aston Villa,43.2,15,2,6,7,79.8,0,6,4,68.4,50,3,13,8,1,1
285626,Villa Park,42084,False,Chelsea,56.8,15,7,3,5,82.8,2,7,2,75,50,1,8,13,2,1
285743,Stamford Bridge,41581,True,Chelsea,44.1,11,5,6,0,73.1,0,6,3,0,0,0,6,16,1,0
285743,Stamford Bridge,41581,False,Tottenham Hotspur,55.9,12,5,7,0,83.8,0,5,3,0,0,0,17,6,2,0
285704,Etihad Stadium,46158,True,Manchester City,53.6,15,7,8,0,82,0,6,0,0,0,0,10,9,2,0
285704,Etihad Stadium,46158,False,West Bromwich Albion,46.4,15,7,8,0,78.8,0,8,1,0,0,0,10,10,1,0
284613,DW Stadium,18550,True,Wigan Athletic,53.2,13,8,5,0,84.2,0,4,1,0,0,0,15,13,2,0
284613,DW Stadium,18550,False,Swansea City,46.8,9,4,5,0,82.9,0,4,1,0,0,0,13,14,2,0
285625,Stadium of Light,38130,True,Sunderland,47.6,10,3,7,0,71.6,0,5,0,0,0,0,8,11,2,1
285625,Stadium of Light,38130,False,Stoke City,52.4,8,3,5,0,71.4,0,6,3,0,0,0,11,8,2,0
285623,Anfield,44991,True,Liverpool,54.8,11,3,8,0,78.7,0,3,3,0,0,0,10,10,1,0
285623,Anfield,44991,False,Everton,45.2,9,2,7,0,75.1,0,5,1,0,0,0,11,10,2,0
285624,Old Trafford,75500,True,Manchester United,48.7,8,2,6,0,84.2,0,2,5,0,0,0,14,9,2,1
285624,Old Trafford,75500,False,Chelsea,51.3,12,3,9,0,84.5,0,7,2,0,0,0,10,14,1,0
261911,Craven Cottage,24087,True,Fulham,49,17,10,7,0,80.7,0,3,2,0,0,0,16,6,2,0
261911,Craven Cottage,24087,False,Reading,51,16,10,6,0,81.7,0,3,3,0,0,0,10,15,1,0
261914,Carrow Road,26842,True,Norwich City,53.7,7,2,5,0,71.8,0,6,2,0,0,0,16,13,2,0
261914,Carrow Road,26842,False,Aston Villa,46.3,10,4,6,0,72.8,0,5,1,0,0,0,13,15,3,0
261917,Swansea Stadium,20242,True,Swansea City,38.1,7,1,6,0,80.2,0,4,2,0,0,0,9,10,0,0
261917,Swansea Stadium,20242,False,Manchester City,61.9,7,3,4,0,87.5,0,4,2,0,0,0,10,9,0,0
261918,White Hart Lane,36190,True,Tottenham Hotspur,49.5,4,1,3,0,76.1,0,5,5,0,0,0,10,10,1,0
261918,White Hart Lane,36190,False,Southampton,50.5,6,3,3,0,75.2,0,5,2,0,0,0,10,9,1,0
261919,The Hawthorns,25756,True,West Bromwich Albion,47.9,13,8,5,0,77.6,0,7,0,0,0,0,9,7,4,0
261919,The Hawthorns,25756,False,Wigan Athletic,52.1,11,5,6,0,84,0,5,1,0,0,0,9,9,3,0
261920,Boleyn Ground,34962,True,West Ham United,45.8,7,3,4,0,71.3,0,7,6,0,0,0,13,12,1,0
261920,Boleyn Ground,34962,False,Newcastle United,54.2,8,3,5,0,80.4,0,3,4,0,0,0,13,12,1,0
261915,Loftus Road Stadium,18178,True,Queens Park Rangers,41.2,10,4,6,0,75.9,0,3,5,0,0,0,8,6,2,0
261915,Loftus Road Stadium,18178,False,Arsenal,58.8,7,7,0,0,83.5,0,7,5,0,0,0,9,8,1,0
284967,Villa Park,37428,True,Aston Villa,55.5,12,11,1,0,83.3,0,4,2,0,0,0,10,15,0,0
284967,Villa Park,37428,False,Sunderland,44.5,6,2,4,0,81.1,0,4,1,0,0,0,15,10,3,1
283166,Select Car Leasing Stadium,23388,True,Reading,46.1,11,5,6,0,74.3,0,9,1,0,0,0,12,15,0,0
283166,Select Car Leasing Stadium,23388,False,Queens Park Rangers,53.9,12,2,10,0,78.8,0,7,2,0,0,0,16,12,2,0
285703,Stamford Bridge,41780,True,Chelsea,51.8,15,8,7,0,85.4,0,6,3,0,0,0,9,11,1,0
285703,Stamford Bridge,41780,False,Swansea City,48.2,8,3,5,0,86.9,0,3,1,0,0,0,11,9,3,0
