match_id,home_team,away_team,score_ht,score_at,date_start
261931,Chelsea,Everton,2,1,2013-05-19 16:00:00
261932,Liverpool,Queens Park Rangers,1,0,2013-05-19 16:00:00
261933,Manchester City,Norwich City,2,3,2013-05-19 16:00:00
261934,Newcastle United,Arsenal,0,1,2013-05-19 16:00:00
261935,Southampton,Stoke City,1,1,2013-05-19 16:00:00
261936,Swansea City,Fulham,0,3,2013-05-19 16:00:00
261937,Tottenham Hotspur,Sunderland,1,0,2013-05-19 16:00:00
261938,West Bromwich Albion,Manchester United,5,5,2013-05-19 16:00:00
261939,West Ham United,Reading,4,2,2013-05-19 16:00:00
261940,Wigan Athletic,Aston Villa,2,2,2013-05-19 16:00:00
285706,Arsenal,Wigan Athletic,4,1,2013-05-14 19:45:00
285708,Reading,Manchester City,0,2,2013-05-14 20:00:00
261929,Stoke City,Tottenham Hotspur,1,2,2013-05-12 13:30:00
261923,Everton,West Ham United,2,0,2013-05-12 15:00:00
261924,Fulham,Liverpool,1,3,2013-05-12 15:00:00
261926,Norwich City,West Bromwich Albion,4,0,2013-05-12 15:00:00
261927,Queens Park Rangers,Newcastle United,1,2,2013-05-12 15:00:00
261930,Sunderland,Southampton,1,1,2013-05-12 15:00:00
261925,Manchester United,Swansea City,2,1,2013-05-12 16:00:00
285626,Aston Villa,Chelsea,1,2,2013-05-11 12:45:00
285743,Chelsea,Tottenham Hotspur,2,2,2013-05-08 19:45:00
285704,Manchester City,West Bromwich Albion,1,0,2013-05-07 19:45:00
284613,Wigan Athletic,Swansea City,2,3,2013-05-07 19:45:00
285625,Sunderland,Stoke City,1,1,2013-05-06 20:00:00
285623,Liverpool,Everton,0,0,2013-05-05 13:30:00
285624,Manchester United,Chelsea,0,1,2013-05-05 16:00:00
261911,Fulham,Reading,2,4,2013-05-04 15:00:00
261914,Norwich City,Aston Villa,1,2,2013-05-04 15:00:00
261917,Swansea City,Manchester City,0,0,2013-05-04 15:00:00
261918,Tottenham Hotspur,Southampton,1,0,2013-05-04 15:00:00
261919,West Bromwich Albion,Wigan Athletic,2,3,2013-05-04 15:00:00
261920,West Ham United,Newcastle United,0,0,2013-05-04 15:00:00
261915,Queens Park Rangers,Arsenal,0,1,2013-05-04 17:30:00
284967,Aston Villa,Sunderland,6,1,2013-04-29 20:00:00
283166,Reading,Queens Park Rangers,0,0,2013-04-28 13:30:00
285703,Chelsea,Swansea City,2,0,2013-04-28 15:00:00
283167,Arsenal,Manchester United,1,1,2013-04-28 16:00:00
261905,Manchester City,West Ham United,2,1,2013-04-27 12:45:00
261904,Everton,Fulham,1,0,2013-04-27 15:00:00
261908,Southampton,West Bromwich Albion,0,3,2013-04-27 15:00:00
261909,Stoke City,Norwich City,1,0,2013-04-27 15:00:00
261910,Wigan Athletic,Tottenham Hotspur,2,2,2013-04-27 15:00:00
261906,Newcastle United,Liverpool,0,6,2013-04-27 17:30:00
283165,Manchester United,Aston Villa,3,0,2013-04-22 20:00:00
283163,Tottenham Hotspur,Manchester City,3,1,2013-04-21 13:30:00
283164,Liverpool,Chelsea,2,2,2013-04-21 16:00:00
261891,Fulham,Arsenal,0,1,2013-04-20 15:00:00
261894,Norwich City,Reading,2,1,2013-04-20 15:00:00
261895,Queens Park Rangers,Stoke City,0,2,2013-04-20 15:00:00
261896,Sunderland,Everton,1,0,2013-04-20 15:00:00
261897,Swansea City,Southampton,0,0,2013-04-20 15:00:00
261899,West Bromwich Albion,Newcastle United,1,1,2013-04-20 15:00:00
261900,West Ham United,Wigan Athletic,2,0,2013-04-20 15:00:00
284611,Manchester City,Wigan Athletic,1,0,2013-04-17 19:45:00
284612,West Ham United,Manchester United,2,2,2013-04-17 19:45:00
285064,Fulham,Chelsea,0,3,2013-04-17 20:00:00
284111,Arsenal,Everton,0,0,2013-04-16 19:45:00
284903,Newcastle United,Sunderland,0,3,2013-04-14 12:00:00
283160,Stoke City,Manchester United,0,2,2013-04-14 14:05:00
261881,Arsenal,Norwich City,3,1,2013-04-13 15:00:00
261882,Aston Villa,Fulham,1,1,2013-04-13 15:00:00
261884,Everton,Queens Park Rangers,2,0,2013-04-13 15:00:00
