match_id,name_officials,role
356707,Antonio Conte,Manager Home Team
356707,David Moyes,Manager Away Team
356707,Neil Swarbrick,Referee
356707,Jake Collin,Assistants
356707,Darren Cann,Assistants
356707,Roger East,Fourth official
356711,José Mourinho,Manager Home Team
356711,Sam Allardyce,Manager Away Team
356711,Anthony Taylor,Referee
356711,Gary Beswick,Assistants
356711,Marc Perry,Assistants
356711,Michael Jones,Fourth official
356710,Jürgen Klopp,Manager Home Team
356710,Steve Agnew,Manager Away Team
356710,Martin Atkinson,Referee
356710,Stuart Burt,Assistants
356710,Adam Nunn,Assistants
356710,Stuart Attwell,Fourth official
356712,Claude Puel,Manager Home Team
356712,Mark Hughes,Manager Away Team
356712,Lee Probert,Referee
356712,Mick McDonough,Assistants
356712,Sian Massey,Assistants
356712,James Linington,Fourth official
356706,Sean Dyche,Manager Home Team
356706,Slaven Bilic,Manager Away Team
356706,Robert Madley,Referee
356706,Peter Kirkup,Assistants
356706,Matt Wilkes,Assistants
356706,Jeremy Simpson,Fourth official
356705,Arsène Wenger,Manager Home Team
356705,Ronald Koeman,Manager Away Team
356705,Michael Oliver,Referee
356705,Simon Bennett,Assistants
356705,Adrian Holmes,Assistants
356705,Craig Pawson,Fourth official
356709,Craig Shakespeare,Manager Home Team
356709,Eddie Howe,Manager Away Team
356709,Lee Mason,Referee
356709,Richard West,Assistants
356709,Derek Eaton,Assistants
356709,Oliver Langford,Fourth official
356708,Marco Silva,Manager Home Team
356708,Mauricio Pochettino,Manager Away Team
356708,Andre Marriner,Referee
356708,Simon Beck,Assistants
356708,Scott Ledger,Assistants
356708,Andy Madley,Fourth official
356713,Paul Clement,Manager Home Team
356713,Tony Pulis,Manager Away Team
356713,Mike Dean,Referee
356713,Simon Long,Assistants
356713,Andy Garratt,Assistants
356713,Graham Scott,Fourth official
356714,Walter Mazzarri,Manager Home Team
356714,Pep Guardiola,Manager Away Team
356714,Jonathan Moss,Referee
356714,Constantine Hatzidakis,Assistants
356714,Andy Halliday,Assistants
356714,Kevin Friend,Fourth official
356670,Craig Shakespeare,Manager Home Team
356670,Mauricio Pochettino,Manager Away Team
356670,Michael Oliver,Referee
356670,Jake Collin,Assistants
356670,Constantine Hatzidakis,Assistants
356670,Neil Swarbrick,Fourth official
