match_id,name_officials,role
341557,Arsène Wenger,Manager Home Team
341557,Eric Black,Manager Away Team
341557,Mark Clattenburg,Referee
341557,John Brooks,Assistants
341557,Andy Halliday,Assistants
341557,Roger East,Fourth official
341559,David Unsworth,Manager Home Team
341559,Alex Neil,Manager Away Team
341559,Lee Mason,Referee
341559,Andy Garratt,Assistants
341559,Derek Eaton,Assistants
341559,Stuart Attwell,Fourth official
341558,Guus Hiddink,Manager Home Team
341558,Claudio Ranieri,Manager Away Team
341558,Craig Pawson,Referee
341558,Mick McDonough,Assistants
341558,Dave Bryan,Assistants
341558,Tony Harrington,Fourth official
341562,Ronald Koeman,Manager Home Team
341562,Alan Pardew,Manager Away Team
341562,Michael Oliver,Referee
341562,Gary Beswick,Assistants
341562,Lee Betts,Assistants
341562,Keith Stroud,Fourth official
341563,Mark Hughes,Manager Home Team
341563,Slaven Bilic,Manager Away Team
341563,Michael Jones,Referee
341563,Marc Perry,Assistants
341563,Mark Scholes,Assistants
341563,Geoff Eltringham,Fourth official
341561,Rafael Benítez,Manager Home Team
341561,Mauricio Pochettino,Manager Away Team
341561,Anthony Taylor,Referee
341561,Mike Mullarkey,Assistants
341561,Stephen Child,Assistants
341561,Neil Swarbrick,Fourth official
341560,Louis van Gaal,Manager Home Team
341560,Eddie Howe,Manager Away Team
341560,Jonathan Moss,Referee
341560,Adrian Holmes,Assistants
341560,Harry Lennard,Assistants
341560,Graham Scott,Fourth official
341564,Francesco Guidolin,Manager Home Team
341564,Manuel Pellegrini,Manager Away Team
341564,Mike Dean,Referee
341564,Jake Collin,Assistants
341564,Simon Long,Assistants
341564,Andre Marriner,Fourth official
341566,Tony Pulis,Manager Home Team
341566,Jürgen Klopp,Manager Away Team
341566,Robert Madley,Referee
341566,Simon Bennett,Assistants
341566,Peter Kirkup,Assistants
341566,Andy Davies,Fourth official
341565,Quique Sánchez Flores,Manager Home Team
341565,Sam Allardyce,Manager Away Team
341565,Kevin Friend,Referee
341565,Michael Salisbury,Assistants
341565,Andrew Fox,Assistants
341565,Darren Deadman,Fourth official
341533,Alex Neil,Manager Home Team
341533,Quique Sánchez Flores,Manager Away Team
341533,Roger East,Referee
341533,Andy Halliday,Assistants
341533,Harry Lennard,Assistants
341533,Kevin Friend,Fourth official
341536,Slaven Bilic,Manager Home Team
341536,Louis van Gaal,Manager Away Team
341536,Mike Dean,Referee
341536,Simon Long,Assistants
341536,Simon Bennett,Assistants
341536,Roger East,Fourth official
341481,Jürgen Klopp,Manager Home Team
341481,Guus Hiddink,Manager Away Team
341481,Michael Oliver,Referee
341481,Stuart Burt,Assistants
341481,Gary Beswick,Assistants
341481,Paul Tierney,Fourth official
341485,Sam Allardyce,Manager Home Team
