match_id,name_officials,role
373467,Sean Dyche,Manager Home Team
373467,Eddie Howe,Manager Away Team
373467,Paul Tierney,Referee
373467,Adrian Holmes,Assistants
373467,Derek Eaton,Assistants
373467,Roger East,Fourth official
373468,Roy Hodgson,Manager Home Team
373468,Darren Moore,Manager Away Team
373468,Jonathan Moss,Referee
373468,Simon Bennett,Assistants
373468,Scott Ledger,Assistants
373468,Lee Probert,Fourth official
373470,Jürgen Klopp,Manager Home Team
373470,Chris Hughton,Manager Away Team
373470,Kevin Friend,Referee
373470,Mark Scholes,Assistants
373470,Sian Massey,Assistants
373470,Michael Jones,Fourth official
373473,Mark Hughes,Manager Home Team
373473,Pep Guardiola,Manager Away Team
373473,Andre Marriner,Referee
373473,Simon Long,Assistants
373473,Richard West,Assistants
373473,Mike Dean,Fourth official
373471,José Mourinho,Manager Home Team
373471,Javi Gracia,Manager Away Team
373471,Lee Mason,Referee
373471,Matt Wilkes,Assistants
373471,Mick McDonough,Assistants
373471,Neil Swarbrick,Fourth official
373469,David Wagner,Manager Home Team
373469,Arsène Wenger,Manager Away Team
373469,Michael Oliver,Referee
373469,Lee Betts,Assistants
373469,Ian Hussin,Assistants
373469,Chris Kavanagh,Fourth official
373472,Rafael Benítez,Manager Home Team
373472,Antonio Conte,Manager Away Team
373472,Martin Atkinson,Referee
373472,Stephen Child,Assistants
373472,Edward Smart,Assistants
373472,Robert Madley,Fourth official
373474,Carlos Carvalhal,Manager Home Team
373474,Paul Lambert,Manager Away Team
373474,Anthony Taylor,Referee
373474,Gary Beswick,Assistants
373474,Adam Nunn,Assistants
373474,Stuart Attwell,Fourth official
373475,Mauricio Pochettino,Manager Home Team
373475,Claude Puel,Manager Away Team
373475,Craig Pawson,Referee
373475,Stuart Burt,Assistants
373475,Simon Beck,Assistants
373475,David Coote,Fourth official
373400,Claude Puel,Manager Home Team
373400,Arsène Wenger,Manager Away Team
373400,Graham Scott,Referee
373400,Lee Betts,Assistants
373400,Marc Perry,Assistants
373400,Craig Pawson,Fourth official
373406,David Moyes,Manager Home Team
